"ranking","champion","reason"
"1","タリヤ","JGのChallengerランクでwin↓ pick↓ ban↓。MIDレーンや他ランク帯と比較して、特にJGでの勝率低下が顕著です。"
"2","タリヤ","MIDのChallengerランクでwin↓ pick↓ ban↓。JGレーンや他ランク帯と比較して、ピック率と勝率の低下が目立ちます。"
"3","タリヤ","JGのMasterランクでwin↓ pick↓ ban↓。MIDレーンや他ランク帯と比較して、ピック率と勝率の低下が顕著です。"
"4","タリヤ","MIDのMasterランクでwin↓ pick↓ ban↓。JGレーンや他ランク帯と比較して、ピック率と勝率の低下が目立ちます。"
"5","タリヤ","JGのDiamondランクでwin↓ pick↓ ban↓。MIDレーンや他ランク帯と比較して、ピック率と勝率の低下が顕著です。"
"6","タリヤ","MIDのDiamondランクでwin↓ pick↓ ban↓。JGレーンや他ランク帯と比較して、ピック率と勝率の低下が目立ちます。"
"7","タリヤ","JGのLegendary_rankでwin↓ pick↓ ban↓。MIDレーンや他ランク帯と比較して、ピック率と勝率の低下が顕著です。"
"8","タリヤ","MIDのLegendary_rankでwin↓ pick↓ ban↓。JGレーンや他ランク帯と比較して、ピック率と勝率の低下が目立ちます。"
"9","タリヤ","MIDのEmeraldランクでwin↓ pick↓ ban↓。他ランク帯と比較して、ピック率と勝率の低下が顕著です。"
"10","タリヤ","JGのEmeraldランクでwin↓ pick↓ ban↓。他ランク帯と比較して、ピック率と勝率の低下が顕著です。"
"11","ノラ","MIDのMasterランクでwin↓ pick↓ ban↓。SUPレーンや他ランク帯と比較して、ピック率と勝率の低下が顕著です。"
"12","ノラ","SUPのMasterランクでwin↓ pick↓ ban↓。MIDレーンや他ランク帯と比較して、ピック率と勝率の低下が目立ちます。"
"13","ノラ","MIDのDiamondランクでwin↓ pick↓ ban↓。SUPレーンや他ランク帯と比較して、ピック率と勝率の低下が顕著です。"
"14","ノラ","SUPのDiamondランクでwin↓ pick↓ ban↓。MIDレーンや他ランク帯と比較して、ピック率と勝率の低下が目立ちます。"
"15","ノラ","MIDのLegendary_rankでwin↓ pick↓ ban↓。SUPレーンや他ランク帯と比較して、ピック率と勝率の低下が顕著です。"
